20181930-20:19:34:997585190 $GPGSV,2,2,06,20,,,24,29,55,222,44*42
20181930-20:19:35:096559148 $GLGSV,2,1,05,66,25,147,35,81,29,077,22,82,,,34,83,,,38*6F
20181930-20:19:35:101386127 $GLGSV,2,2,05,,,,28*6A
20181930-20:19:35:345337377 $GNGLL,,,,,034155.00,V,N*52
20181930-20:19:35:350060711 $GNZDA,034155.00,31,01,2018,00,00*76
20181930-20:19:35:782327429 $GNRMC,034156.00,V,,,,,,,310118,,,N*6C
20181930-20:19:35:787233627 $GNVTG,,,,,,,,,N*2E
20181930-20:19:35:886131179 $GNGGA,034156.00,,,,,0,04,2.75,,,,,,*49
20181930-20:19:35:890921752 $GNGSA,A,1,05,29,,,,,,,,,,,4.60,2.75,3.68*1F
20181930-20:19:35:895798731 $GNGSA,A,1,66,81,,,,,,,,,,,4.60,2.75,3.68*18
20181930-20:19:35:990436908 $GPGSV,2,1,06,02,,,22,04,,,39,05,71,130,31,12,,,23*41
20181930-20:19:35:995549148 $GPGSV,2,2,06,20,,,26,29,55,222,44*40
20181930-20:19:36:094546335 $GLGSV,2,1,05,66,25,147,38,81,29,077,21,82,,,33,83,,,40*69
20181930-20:19:36:099546804 $GLGSV,2,2,05,,,,29*6B
20181930-20:19:36:335268419 $GNGLL,,,,,034156.00,V,N*51
20181930-20:19:36:340050398 $GNZDA,034156.00,31,01,2018,00,00*75
20181930-20:19:36:771567481 $GNRMC,034157.00,V,,,,,,,310118,,,N*6D
20181930-20:19:36:776424095 $GNVTG,,,,,,,,,N*2E
